step,NE_L0,NE_L1,NE_L2,NE_L3,NW_L0,NW_L1,NW_L2,NW_L3,SE_L0,SE_L1,SE_L2,SE_L3,SW_L0,SW_L1,SW_L2,SW_L3
47,9.62,9.91,10.64,1.41,8.89,1.22,11.13,9.0,1.69,6.5,7.03,3.23,24.8,0.0,4.28,7.66
48,11.67,11.39,0.0,2.76,10.55,2.67,0.0,10.38,3.51,7.83,8.66,0.0,14.63,1.4,5.8,8.93
49,13.73,0.0,1.61,4.09,12.55,4.03,1.54,0.0,5.28,9.26,10.14,0.0,1.96,2.57,7.32,10.32
50,3.14,1.37,3.41,5.53,0.85,5.4,2.94,1.33,7.21,10.59,0.0,1.37,3.88,3.74,8.87,0.0
51,0.0,2.78,5.01,6.87,0.0,6.68,4.55,2.79,9.25,0.0,1.56,2.7,5.81,5.15,10.45,0.0
52,0.0,4.28,6.72,17.74,0.0,18.77,6.25,3.99,11.25,0.0,3.07,4.07,7.72,6.41,12.02,0.0
53,1.98,5.67,18.22,8.42,1.82,8.57,7.75,5.41,23.5,0.0,4.48,14.96,20.62,7.74,13.41,0.0
54,3.91,7.16,19.86,0.0,3.71,0.0,9.41,6.69,29.58,0.0,6.06,17.25,24.64,18.71,4.71,1.28
55,5.89,8.71,21.45,0.0,5.78,0.0,11.12,8.2,33.07,1.34,7.6,6.97,27.77,21.28,0.0,2.44
56,7.72,10.2,22.93,0.0,7.65,0.0,12.8,9.77,34.83,2.77,9.23,0.0,29.4,10.57,1.55,3.7
57,9.51,11.76,11.1,1.45,9.53,1.39,8.37,11.48,23.43,4.2,10.71,1.33,31.27,0.0,3.08,4.96
58,11.48,13.19,0.0,2.84,11.38,2.68,0.21,13.02,9.28,5.55,12.06,2.5,19.46,1.15,4.52,6.11
59,13.34,0.0,1.6,4.25,13.09,4.0,1.65,0.0,0.0,6.74,13.49,3.66,5.44,2.4,5.92,7.22
60,1.42,1.37,3.2,5.69,0.72,5.4,3.3,1.5,1.76,7.94,0.75,4.85,0.0,3.52,7.22,8.29
61,0.0,2.76,4.72,6.95,0.0,6.84,4.85,3.14,3.53,0.0,2.26,5.96,1.81,4.7,8.71,0.0
62,1.81,4.24,6.33,8.49,1.87,7.74,6.22,4.67,5.19,1.28,3.64,0.0,3.44,5.99,10.08,0.0
63,3.84,5.49,19.41,0.0,3.8,0.0,7.65,6.05,18.23,2.48,4.97,0.0,16.68,7.17,11.38,0.0
64,5.77,6.95,20.82,0.0,5.49,0.0,8.94,7.65,10.43,3.79,6.4,8.87,20.3,15.89,12.57,0.0
65,7.57,8.23,22.35,0.0,7.06,0.0,10.48,9.06,0.0,5.05,7.8,10.99,21.91,3.48,13.91,1.08
66,9.35,9.53,11.37,1.17,8.68,1.25,11.88,0.0,0.0,6.24,9.15,13.05,23.34,0.0,15.26,2.09
67,11.01,10.91,0.0,2.36,10.47,2.49,0.0,1.09,0.0,7.43,10.33,15.17,24.84,1.13,3.07,3.17
68,12.76,0.0,1.39,3.63,12.09,3.69,0.0,2.32,1.5,8.52,0.0,16.32,11.46,2.31,4.28,4.35
69,0.5,1.19,2.72,13.32,0.0,5.01,1.25,3.44,3.14,9.6,1.34,2.73,0.0,3.34,5.6,5.38
70,2.01,2.44,4.11,0.0,0.0,6.17,13.62,4.66,4.52,10.87,2.54,0.0,0.0,4.49,6.83,6.53
71,3.56,3.66,14.84,0.0,1.66,5.1,15.04,5.86,5.99,0.0,3.91,1.08,0.0,5.66,7.97,7.65
72,5.22,4.81,3.89,1.13,3.09,6.24,3.77,6.94,18.99,0.0,5.27,2.19,12.77,6.76,9.14,0.0
73,6.77,6.04,0.0,2.33,4.55,7.42,0.0,8.18,6.95,1.1,6.67,3.34,15.66,7.97,10.46,0.0
74,8.46,7.18,0.0,3.59,6.06,8.58,1.3,0.0,0.0,2.18,7.85,4.49,17.11,19.05,0.0,1.05
75,10.13,8.48,0.0,4.71,7.45,0.0,2.58,1.24,1.44,3.43,0.0,12.69,18.64,6.42,1.24,2.05
76,11.56,0.0,1.27,5.87,8.95,0.0,3.76,2.36,3.03,4.59,1.34,0.0,20.15,0.0,2.38,3.1
77,0.5,1.18,2.55,14.7,10.51,0.0,14.46,3.39,4.62,5.72,2.65,0.0,7.34,1.16,3.65,4.21
78,1.98,2.41,11.42,1.49,11.91,1.19,1.01,4.63,6.06,6.95,4.01,0.0,0.0,2.32,4.9,5.39
79,3.41,3.54,12.81,0.0,0.0,10.24,2.4,5.75,7.48,8.22,5.34,0.0,0.0,3.52,6.07,6.59
80,4.95,4.75,1.59,1.2,1.4,0.0,3.81,6.93,19.61,0.0,6.71,1.3,0.0,4.57,7.31,7.67
81,6.58,6.06,0.0,2.51,2.9,0.0,5.25,8.14,8.5,1.38,8.15,2.44,1.37,5.82,8.51,0.0
82,8.34,7.24,0.0,3.88,4.31,0.0,6.73,9.25,0.0,2.66,9.45,3.66,13.89,7.02,9.71,0.0
83,10.06,8.49,0.0,5.26,5.78,1.11,8.14,0.0,1.72,3.96,0.0,5.02,15.51,16.1,10.98,0.0
84,11.91,0.0,1.55,6.55,7.24,2.25,9.58,0.0,3.38,5.55,0.0,13.51,17.16,2.82,12.36,1.15
85,13.74,0.0,3.1,7.95,8.82,3.5,0.0,1.26,5.1,7.06,1.34,0.18,18.77,4.01,0.08,2.47
86,1.79,1.29,13.49,17.77,10.6,4.75,0.0,2.47,6.87,8.51,2.94,0.0,5.71,5.11,1.48,3.59
87,3.4,2.64,16.29,5.27,0.0,14.03,1.38,3.72,8.6,10.15,4.43,0.0,0.0,6.44,2.76,4.69
88,5.38,3.9,17.85,0.0,1.79,1.32,14.26,5.0,0.0,11.67,5.86,1.35,0.0,7.58,4.12,5.84
89,7.34,5.34,5.86,1.24,3.47,2.72,0.6,6.22,12.85,0.0,7.24,2.69,1.66,0.0,5.48,7.05
90,9.73,6.89,0.0,2.68,5.44,4.24,2.21,0.0,15.02,0.0,9.05,4.13,13.94,0.0,7.04,8.36
91,11.62,8.36,0.0,3.95,7.17,5.65,3.68,0.0,16.95,0.0,10.69,5.54,15.67,0.0,8.37,9.73
92,13.64,9.7,0.0,5.39,8.94,6.9,5.12,0.0,18.86,1.28,0.15,6.84,17.44,12.05,9.84,0.0
93,15.68,0.0,1.73,13.21,10.64,8.23,6.74,0.0,6.87,2.59,1.66,8.24,6.54,14.58,11.18,1.37
94,17.63,1.47,3.29,1.31,12.52,0.0,8.44,1.44,0.0,3.87,3.09,9.65,0.0,16.99,12.58,2.75
95,19.66,2.87,15.0,0.0,0.48,1.39,9.9,2.83,2.04,5.3,4.62,5.22,1.63,3.17,14.1,4.02
96,8.31,4.19,16.69,2.43,2.54,11.84,0.0,4.23,3.78,6.59,6.29,0.0,3.38,4.56,2.36,5.19
97,0.0,5.68,18.43,3.69,4.61,0.0,1.64,5.49,5.61,7.99,7.95,0.0,5.06,5.95,0.0,6.48
98,1.92,7.2,7.54,4.99,6.65,0.0,3.3,6.94,7.45,9.26,9.48,0.0,18.11,7.31,0.0,7.77
99,4.05,8.5,0.0,6.46,8.63,0.0,15.64,8.38,20.23,0.0,11.08,1.24,6.68,8.71,1.42,9.0
100,6.03,0.0,1.51,7.98,10.43,0.0,20.4,9.74,15.85,1.28,12.54,2.45,0.0,9.93,2.9,10.28
101,7.92,0.0,2.99,9.27,0.0,1.44,23.18,11.02,2.06,2.72,13.93,3.68,1.66,0.0,4.25,11.42
102,9.89,1.54,4.6,0.0,1.8,2.78,8.89,12.21,3.77,4.14,0.78,4.95,3.52,9.98,5.61,0.0
103,11.83,2.87,6.2,0.0,3.83,12.18,10.51,0.0,5.72,5.35,2.28,0.0,5.22,11.19,6.89,0.0
104,13.71,4.29,7.66,0.0,5.8,0.16,12.14,1.27,7.46,6.59,3.65,0.0,16.89,12.36,8.32,0.0
105,15.77,5.74,21.18,0.0,7.62,1.52,0.0,2.59,9.2,7.83,4.99,0.31,5.19,13.55,9.82,1.22
106,17.66,7.03,9.0,12.41,9.25,2.92,0.0,3.71,10.9,9.06,6.39,0.0,6.78,0.0,11.16,2.33
107,19.55,8.28,0.0,13.74,0.0,4.11,1.49,4.89,12.54,0.0,7.9,2.24,8.35,1.09,0.0,3.56
108,8.54,9.7,1.62,15.05,1.89,0.0,2.81,6.01,0.0,1.12,9.37,3.49,0.0,2.32,1.31,4.7
109,0.0,11.08,3.07,16.31,3.72,0.0,4.27,7.1,1.66,2.33,0.0,4.72,0.0,3.47,2.62,5.9
110,1.72,12.28,4.52,3.14,5.33,0.0,15.95,8.21,3.25,3.46,0.0,5.87,0.05,13.07,3.78,7.12
111,3.54,0.0,6.05,4.39,7.07,1.16,4.39,9.36,15.52,4.7,1.32,0.0,1.58,0.44,5.06,8.22
112,5.39,0.0,16.17,5.51,8.84,2.3,0.0,10.54,13.29,5.82,2.65,1.12,3.06,0.0,6.43,9.26
113,7.09,0.0,18.51,6.79,10.46,3.43,1.45,0.0,1.32,7.04,3.89,2.18,4.45,0.0,7.62,10.39
