step,switch_penalty,queue_urgency_weight,emergency_boost,corridor_priority,balance_penalty
143,1.898,2.179,0.0,1.614,1.845
144,1.794,2.18,0.0,1.569,1.857
145,1.704,2.067,0.0,1.869,1.557
146,1.704,1.767,0.0,1.692,1.257
147,1.304,2.067,0.0,1.992,1.0
148,1.1,2.367,0.0,2.292,1.0
149,1.1,2.595,0.0,1.992,1.3
150,1.1,2.295,0.0,2.292,1.0
151,1.1,2.0,0.0,1.992,1.0
152,1.1,1.893,0.0,2.019,1.0
153,1.1,1.992,0.0,1.729,1.0
154,1.1,1.819,0.0,2.029,1.0
155,1.1,1.983,0.0,2.329,1.0
156,1.1,1.846,0.0,2.348,1.0
157,1.1,1.968,0.0,2.106,1.0
158,1.5,1.803,0.0,1.806,1.0
159,1.9,2.005,0.0,2.106,1.0
160,2.279,1.927,0.0,1.991,1.0
161,1.879,2.177,0.0,2.291,1.0
162,1.488,2.477,0.0,1.991,1.3
163,1.1,2.376,0.0,2.291,1.0
164,1.1,2.076,0.0,2.031,1.0
165,1.1,1.865,0.0,1.949,1.0
166,1.1,1.946,0.0,2.154,1.0
167,1.5,1.923,0.0,2.351,1.0
168,1.9,1.912,0.0,2.352,1.0
169,2.279,2.212,0.0,2.052,1.0
170,1.879,2.238,0.0,1.752,1.0
171,1.722,2.356,0.0,1.618,1.0
172,1.322,2.578,0.0,1.918,1.0
173,1.1,2.278,0.0,2.218,1.0
174,1.1,1.978,0.0,1.918,1.0
175,1.1,1.894,0.0,2.022,1.0
176,1.1,2.155,0.0,2.322,1.0
177,1.5,2.004,0.0,2.542,1.0
178,1.9,2.176,0.0,2.242,1.0
179,1.612,2.476,0.0,1.942,1.3
180,1.912,2.53,0.0,1.957,1.0
181,1.969,2.23,0.0,2.257,1.0
182,1.569,1.93,0.0,1.957,1.0
183,1.169,1.911,0.0,2.257,1.0
184,1.1,2.167,0.0,2.557,1.0
185,1.1,2.43,0.0,2.857,1.0
186,1.1,2.588,0.0,2.557,1.0
187,1.1,2.288,0.0,2.257,1.0
188,1.1,1.988,0.0,1.957,1.0
189,1.1,1.713,0.0,1.657,1.0
190,1.1,2.013,0.0,1.957,1.0
191,1.1,2.313,0.0,1.878,1.3
192,1.1,2.381,0.0,2.178,1.595
193,1.5,2.254,0.0,2.068,1.535
194,1.71,2.152,0.0,1.968,1.57
195,1.722,2.216,0.0,1.668,1.87
196,1.991,1.916,0.0,1.687,1.57
197,2.081,1.668,0.0,1.962,1.27
198,1.681,1.968,0.0,2.156,1.0
199,1.281,2.268,0.0,2.199,1.0
